JND	Color	Subband	Threshold	Stepsize	Slope
5	1	LL5	0.003202	0.003202	0.000000
5	1	LH5	0.002155	0.002220	0.000642
5	1	HL5	0.002155	0.002220	0.000642
5	1	HH5	0.002251	0.002318	0.000848
5	1	LH4	0.002453	0.002527	0.000652
5	1	HL4	0.002453	0.002527	0.000652
5	1	HH4	0.002870	0.002956	0.000512
5	1	LH3	0.003289	0.003388	0.000668
5	1	HL3	0.003289	0.003388	0.000668
5	1	HH3	0.004022	0.004142	0.001919
5	1	LH2	0.006761	0.006964	0.001690
5	1	HL2	0.006761	0.006964	0.001690
5	1	HH2	0.012853	0.013239	0.004584
5	1	LH1	0.031149	0.032084	0.002134
5	1	HL1	0.031149	0.032084	0.002134
5	1	HH1	0.139973	0.144172	0.010932
5	2	LL5	0.006325	0.006325	0.000000
5	2	LH5	0.004759	0.004759	0.000000
5	2	HL5	0.004759	0.004759	0.000000
5	2	HH5	0.008958	0.008958	0.000000
5	2	LH4	0.012868	0.012868	0.000000
5	2	HL4	0.012868	0.012868	0.000000
5	2	HH4	0.500000	0.500000	0.000000
5	2	LH3	0.068132	0.068132	0.000000
5	2	HL3	0.068132	0.068132	0.000000
5	2	HH3	0.500000	0.500000	0.000000
5	2	LH2	0.500000	0.500000	0.000000
5	2	HL2	0.500000	0.500000	0.000000
5	2	HH2	0.500000	0.500000	0.000000
5	2	LH1	0.500000	0.500000	0.000000
5	2	HL1	0.500000	0.500000	0.000000
5	2	HH1	0.500000	0.500000	0.000000
5	3	LL5	0.004833	0.004833	0.000000
5	3	LH5	0.004379	0.004379	0.000000
5	3	HL5	0.004379	0.004379	0.000000
5	3	HH5	0.006408	0.006408	0.000000
5	3	LH4	0.006697	0.006697	0.000000
5	3	HL4	0.006697	0.006697	0.000000
5	3	HH4	0.008695	0.008695	0.000000
5	3	LH3	0.008865	0.008865	0.000000
5	3	HL3	0.008865	0.008865	0.000000
5	3	HH3	0.500000	0.500000	0.000000
5	3	LH2	0.038224	0.038224	0.000000
5	3	HL2	0.038224	0.038224	0.000000
5	3	HH2	0.500000	0.500000	0.000000
5	3	LH1	0.500000	0.500000	0.000000
5	3	HL1	0.500000	0.500000	0.000000
5	3	HH1	0.500000	0.500000	0.000000
