JND	Color	Subband	Threshold	Stepsize	Slope
1	1	LL5	0.002678	0.002678	0.000000
1	1	LH5	0.001495	0.001540	0.000585
1	1	HL5	0.001495	0.001540	0.000585
1	1	HH5	0.001622	0.001671	0.000478
1	1	LH4	0.001748	0.001801	0.000379
1	1	HL4	0.001748	0.001801	0.000379
1	1	HH4	0.001976	0.002035	0.000241
1	1	LH3	0.002377	0.002448	0.000638
1	1	HL3	0.002377	0.002448	0.000638
1	1	HH3	0.002743	0.002825	0.001127
1	1	LH2	0.003405	0.003507	0.001545
1	1	HL2	0.003405	0.003507	0.001545
1	1	HH2	0.006917	0.007125	0.002042
1	1	LH1	0.014542	0.014979	0.004337
1	1	HL1	0.014542	0.014979	0.004337
1	1	HH1	0.037003	0.038114	0.039306
1	2	LL5	0.002758	0.002758	0.000000
1	2	LH5	0.002374	0.002374	0.000000
1	2	HL5	0.002374	0.002374	0.000000
1	2	HH5	0.002373	0.002373	0.000000
1	2	LH4	0.003898	0.003898	0.000000
1	2	HL4	0.003898	0.003898	0.000000
1	2	HH4	0.014768	0.014768	0.000000
1	2	LH3	0.011522	0.011522	0.000000
1	2	HL3	0.011522	0.011522	0.000000
1	2	HH3	0.069964	0.069964	0.000000
1	2	LH2	0.500000	0.500000	0.000000
1	2	HL2	0.500000	0.500000	0.000000
1	2	HH2	0.500000	0.500000	0.000000
1	2	LH1	0.500000	0.500000	0.000000
1	2	HL1	0.500000	0.500000	0.000000
1	2	HH1	0.500000	0.500000	0.000000
1	3	LL5	0.002616	0.002616	0.000000
1	3	LH5	0.002361	0.002361	0.000000
1	3	HL5	0.002361	0.002361	0.000000
1	3	HH5	0.002998	0.002998	0.000000
1	3	LH4	0.003697	0.003697	0.000000
1	3	HL4	0.003697	0.003697	0.000000
1	3	HH4	0.004556	0.004556	0.000000
1	3	LH3	0.004699	0.004699	0.000000
1	3	HL3	0.004699	0.004699	0.000000
1	3	HH3	0.006327	0.006327	0.000000
1	3	LH2	0.008176	0.008176	0.000000
1	3	HL2	0.008176	0.008176	0.000000
1	3	HH2	0.500000	0.500000	0.000000
1	3	LH1	0.500000	0.500000	0.000000
1	3	HL1	0.500000	0.500000	0.000000
1	3	HH1	0.500000	0.500000	0.000000
