JND	Color	Subband	Threshold	Stepsize	Slope
6	1	LL5	0.003347	0.003347	0.000000
6	1	LH5	0.002301	0.002370	0.000688
6	1	HL5	0.002301	0.002370	0.000688
6	1	HH5	0.002406	0.002478	0.000932
6	1	LH4	0.002596	0.002674	0.000718
6	1	HL4	0.002596	0.002674	0.000718
6	1	HH4	0.003123	0.003217	0.000444
6	1	LH3	0.003427	0.003530	0.000827
6	1	HL3	0.003427	0.003530	0.000827
6	1	HH3	0.004281	0.004410	0.002177
6	1	LH2	0.007510	0.007736	0.001799
6	1	HL2	0.007510	0.007736	0.001799
6	1	HH2	0.014351	0.014781	0.004743
6	1	LH1	0.034140	0.035165	0.004082
6	1	HL1	0.034140	0.035165	0.004082
6	1	HH1	0.161217	0.166054	0.016551
6	2	LL5	0.007219	0.007219	0.000000
6	2	LH5	0.005419	0.005419	0.000000
6	2	HL5	0.005419	0.005419	0.000000
6	2	HH5	0.010366	0.010366	0.000000
6	2	LH4	0.014472	0.014472	0.000000
6	2	HL4	0.014472	0.014472	0.000000
6	2	HH4	0.500000	0.500000	0.000000
6	2	LH3	0.500000	0.500000	0.000000
6	2	HL3	0.500000	0.500000	0.000000
6	2	HH3	0.500000	0.500000	0.000000
6	2	LH2	0.500000	0.500000	0.000000
6	2	HL2	0.500000	0.500000	0.000000
6	2	HH2	0.500000	0.500000	0.000000
6	2	LH1	0.500000	0.500000	0.000000
6	2	HL1	0.500000	0.500000	0.000000
6	2	HH1	0.500000	0.500000	0.000000
6	3	LL5	0.005431	0.005431	0.000000
6	3	LH5	0.004834	0.004834	0.000000
6	3	HL5	0.004834	0.004834	0.000000
6	3	HH5	0.007079	0.007079	0.000000
6	3	LH4	0.007467	0.007467	0.000000
6	3	HL4	0.007467	0.007467	0.000000
6	3	HH4	0.010064	0.010064	0.000000
6	3	LH3	0.010108	0.010108	0.000000
6	3	HL3	0.010108	0.010108	0.000000
6	3	HH3	0.500000	0.500000	0.000000
6	3	LH2	0.500000	0.500000	0.000000
6	3	HL2	0.500000	0.500000	0.000000
6	3	HH2	0.500000	0.500000	0.000000
6	3	LH1	0.500000	0.500000	0.000000
6	3	HL1	0.500000	0.500000	0.000000
6	3	HH1	0.500000	0.500000	0.000000
