JND	Color	Subband	Threshold	Stepsize	Slope
2	1	LL5	0.002899	0.002899	0.000000
2	1	LH5	0.001696	0.001747	0.000648
2	1	HL5	0.001696	0.001747	0.000648
2	1	HH5	0.001818	0.001872	0.000612
2	1	LH4	0.001999	0.002059	0.000431
2	1	HL4	0.001999	0.002059	0.000431
2	1	HH4	0.002271	0.002339	0.000310
2	1	LH3	0.002577	0.002654	0.000693
2	1	HL3	0.002577	0.002654	0.000693
2	1	HH3	0.003162	0.003257	0.001378
2	1	LH2	0.004496	0.004631	0.001407
2	1	HL2	0.004496	0.004631	0.001407
2	1	HH2	0.008789	0.009052	0.002254
2	1	LH1	0.019049	0.019620	0.003426
2	1	HL1	0.019049	0.019620	0.003426
2	1	HH1	0.056943	0.058651	0.048519
2	2	LL5	0.003064	0.003064	0.000000
2	2	LH5	0.002879	0.002879	0.000000
2	2	HL5	0.002879	0.002879	0.000000
2	2	HH5	0.003590	0.003590	0.000000
2	2	LH4	0.006628	0.006628	0.000000
2	2	HL4	0.006628	0.006628	0.000000
2	2	HH4	0.041087	0.041087	0.000000
2	2	LH3	0.014716	0.014716	0.000000
2	2	HL3	0.014716	0.014716	0.000000
2	2	HH3	0.500000	0.500000	0.000000
2	2	LH2	0.500000	0.500000	0.000000
2	2	HL2	0.500000	0.500000	0.000000
2	2	HH2	0.500000	0.500000	0.000000
2	2	LH1	0.500000	0.500000	0.000000
2	2	HL1	0.500000	0.500000	0.000000
2	2	HH1	0.500000	0.500000	0.000000
2	3	LL5	0.003147	0.003147	0.000000
2	3	LH5	0.002908	0.002908	0.000000
2	3	HL5	0.002908	0.002908	0.000000
2	3	HH5	0.003984	0.003984	0.000000
2	3	LH4	0.004383	0.004383	0.000000
2	3	HL4	0.004383	0.004383	0.000000
2	3	HH4	0.005921	0.005921	0.000000
2	3	LH3	0.005796	0.005796	0.000000
2	3	HL3	0.005796	0.005796	0.000000
2	3	HH3	0.008992	0.008992	0.000000
2	3	LH2	0.011565	0.011565	0.000000
2	3	HL2	0.011565	0.011565	0.000000
2	3	HH2	0.500000	0.500000	0.000000
2	3	LH1	0.500000	0.500000	0.000000
2	3	HL1	0.500000	0.500000	0.000000
2	3	HH1	0.500000	0.500000	0.000000
