JND	Color	Subband	Threshold	Stepsize	Slope
3	1	LL5	0.002980	0.002980	0.000000
3	1	LH5	0.001892	0.001949	0.000571
3	1	HL5	0.001892	0.001949	0.000571
3	1	HH5	0.001930	0.001988	0.000703
3	1	LH4	0.002155	0.002219	0.000457
3	1	HL4	0.002155	0.002219	0.000457
3	1	HH4	0.002488	0.002563	0.000462
3	1	LH3	0.002818	0.002903	0.000804
3	1	HL3	0.002818	0.002903	0.000804
3	1	HH3	0.003443	0.003546	0.001553
3	1	LH2	0.005076	0.005228	0.001820
3	1	HL2	0.005076	0.005228	0.001820
3	1	HH2	0.010083	0.010386	0.003699
3	1	LH1	0.023670	0.024380	0.001735
3	1	HL1	0.023670	0.024380	0.001735
3	1	HH1	0.084146	0.086671	0.030006
3	2	LL5	0.004212	0.004212	0.000000
3	2	LH5	0.003346	0.003346	0.000000
3	2	HL5	0.003346	0.003346	0.000000
3	2	HH5	0.004972	0.004972	0.000000
3	2	LH4	0.008582	0.008582	0.000000
3	2	HL4	0.008582	0.008582	0.000000
3	2	HH4	0.500000	0.500000	0.000000
3	2	LH3	0.020033	0.020033	0.000000
3	2	HL3	0.020033	0.020033	0.000000
3	2	HH3	0.500000	0.500000	0.000000
3	2	LH2	0.500000	0.500000	0.000000
3	2	HL2	0.500000	0.500000	0.000000
3	2	HH2	0.500000	0.500000	0.000000
3	2	LH1	0.500000	0.500000	0.000000
3	2	HL1	0.500000	0.500000	0.000000
3	2	HH1	0.500000	0.500000	0.000000
3	3	LL5	0.003940	0.003940	0.000000
3	3	LH5	0.003339	0.003339	0.000000
3	3	HL5	0.003339	0.003339	0.000000
3	3	HH5	0.004812	0.004812	0.000000
3	3	LH4	0.004904	0.004904	0.000000
3	3	HL4	0.004904	0.004904	0.000000
3	3	HH4	0.007156	0.007156	0.000000
3	3	LH3	0.006615	0.006615	0.000000
3	3	HL3	0.006615	0.006615	0.000000
3	3	HH3	0.015050	0.015050	0.000000
3	3	LH2	0.018272	0.018272	0.000000
3	3	HL2	0.018272	0.018272	0.000000
3	3	HH2	0.500000	0.500000	0.000000
3	3	LH1	0.500000	0.500000	0.000000
3	3	HL1	0.500000	0.500000	0.000000
3	3	HH1	0.500000	0.500000	0.000000
